endOfGameStatDescs,iconPath,id,longDesc,name,shortDesc,tooltip
[],/lol-game-data/assets/v1/perk-images/Styles/RunesIcon.png,8220,"+15 Attack Damage or +25 Ability Power, <lol-uikit-tooltipped-keyword key='LinkTooltip_Description_Adaptive'><font color='#48C4B7'>Adaptive</font></lol-uikit-tooltipped-keyword>",The Calamity,<pathBonus><pathSorcery>Sorcery</pathSorcery> + <pathDomination>Domination</pathDomination> Set Bonus</pathBonus>,"<pathSorcery>Sorcery</pathSorcery> + <pathDomination>Domination</pathDomination><br>+15 Attack Damage or +25 Ability Power, <lol-uikit-tooltipped-keyword key='LinkTooltip_Description_Adaptive'><font color='#48C4B7'>Adaptive</font></lol-uikit-tooltipped-keyword><br>Current Bonus: <scaleAD>+@f1@ <scaleAD>Attack Damage</scaleAD></scaleAD>"
[],/lol-game-data/assets/v1/perk-images/Styles/RunesIcon.png,8016,+18% Attack Speed,The Merciless Elite,<pathBonus><pathPrecision>Precision</pathPrecision> + <pathDomination>Domination</pathDomination> Set Bonus</pathBonus>,<pathPrecision>Precision</pathPrecision> + <pathDomination>Domination</pathDomination><br>+18% Attack Speed
['Total Damage Dealt: @eogvar1@'],/lol-game-data/assets/v1/perk-images/Styles/Resolve/VeteranVengeance/VeteranVengeance.png,8439,"After immobilizing an enemy champion, increase your Armor and Magic Resist by 20 + 30% for 2.5s. Then explode, dealing magic damage to nearby enemies.<br><br>Damage: 40 - 140 (+3.5% of your maximum health)<br>Cooldown: 20s",Aftershock,"After <lol-uikit-tooltipped-keyword key=""LinkTooltip_Description_Immobilize"">immobilizing</lol-uikit-tooltipped-keyword> an enemy champion gain defenses and later deal a burst of <lol-uikit-tooltipped-keyword key=""LinkTooltip_Description_AdaptiveDmg"">adaptive damage</lol-uikit-tooltipped-keyword> around you.","After immobilizing an enemy champion, increase your Armor and Magic Resist by 20 + 30% for 2.5s. Then explode, dealing magic damage to nearby enemies.<br><br>Damage: 40 - 140 (+3.5% of your maximum health)<br>Cooldown: 20s<br><hr><br>Total damage dealt: <scaleAD>@f1@</scaleAD><br>Armor buff: @f2@<br>Magic Resist buff: @f3@"
['Biscuits Received: @eogvar1@'],/lol-game-data/assets/v1/perk-images/Styles/Inspiration/BiscuitsAndBonuses/BiscuitsAndBonuses.png,8345,"Biscuit Delivery: Gain a Total Biscuit of Everlasting Will every 3 mins, until 12 min.<br><br>Biscuits restore 15% of your missing health and mana. Consuming any Biscuit increases your mana cap by 40 mana permanently. <br><br><i>Manaless:</i> Champions without mana restore 20% missing health instead.",Biscuit Delivery,"Gain a free Biscuit every 3 min, until 12 min. Consuming a Biscuit permanently increases your max mana and restores health and mana.","Biscuit Delivery: Gain a Total Biscuit of Everlasting Will every 3 mins, until 12 min.<br><br>Biscuits restore 15% of your missing health and mana. Consuming any Biscuit increases your mana cap by 40 mana permanently. <br><br><i>Manaless:</i> Champions without mana restore 20% missing health instead.<br><hr><br>Biscuits Gained: @f1@/@f2@"
['Total Active Time: @eogvar1@'],/lol-game-data/assets/v1/perk-images/Styles/Precision/FlowofBattle/FlowofBattleTemp.png,8008,1.5s after damaging a champion gain 30 - 80% Attack Speed (based on level) for 3s. Attacking a champion extends the effect to 6s.<br><br>Cooldown: 10s<br><br>Lethal Tempo allows you to temporarily exceed the attack speed limit.,Lethal Tempo,1.5s after damaging a champion gain a large amount of Attack Speed. Lethal Tempo allows you to temporarily exceed the attack speed limit.,1.5s after damaging a champion gain 30 - 80% Attack Speed (based on level) for 3s. Attacking a champion extends the effect to 6s.<br><br>Cooldown: 10s<br><br>Lethal Tempo allows you to temporarily exceed the attack speed limit.<br><hr><br>Total Time Active: @f1@s
['Total Damage Dealt: @eogvar1@'],/lol-game-data/assets/v1/perk-images/Styles/Domination/KSSoulReaper/KSSoulReaper.png,8128,"Champions, large minions, and large monsters drop soul essence on death. Collect souls to become <font color='#c60300'>Soul Charged</font>. Your next attack on a champion or structure consumes <font color='#c60300'>Soul Charged</font> to deal bonus <lol-uikit-tooltipped-keyword key='LinkTooltip_Description_AdaptiveDmg'><font color='#48C4B7'>adaptive damage</font></lol-uikit-tooltipped-keyword>.<br><br><font color='#c60300'>Soul Charged</font> lasts 20s, increased to 300s after collecting 150 soul essence.<br><br>Bonus damage: 40 - 80 (+<scaleAD>0.25 bonus AD</scaleAD>) (+<scaleAP>0.2 AP</scaleAP>) + soul essence collected.<br><rules><br>Champions - 6 soul essence.<br>Monsters - 2 soul essence.<br>Minions - 4 soul essence.</rules>",Dark Harvest,"Champions, large minions, and large monsters drop soul essence on death. Touch souls to absorb them and deal bonus <lol-uikit-tooltipped-keyword key=""LinkTooltip_Description_AdaptiveDmg"">adaptive damage</lol-uikit-tooltipped-keyword> on your next attack based on total soul essence collected.","Champions, large minions, and large monsters drop soul essence on death. Collect souls to become <font color='#c60300'>Soul Charged</font>. Your next attack on a champion or structure consumes <font color='#c60300'>Soul Charged</font> to deal bonus <lol-uikit-tooltipped-keyword key='LinkTooltip_Description_AdaptiveDmg'><font color='#48C4B7'>adaptive damage</font></lol-uikit-tooltipped-keyword>.<br><br><font color='#c60300'>Soul Charged</font> lasts 20s, increased to 300s after collecting 150 soul essence.<br><br>Bonus damage: <font color='#ffffff'>@f2@</font> (+<scaleAD>@f5@</scaleAD>) (+<scaleAP>@f6@</scaleAP>) + <font color='#c60300'>@f3@ soul essence</font><br><rules><br>Champions - 6 soul essence.<br>Monsters - 2 soul essence.<br>Minions - 4 soul essence.</rules><br><br><hr><br>Total Damage Dealt: <font color='#ffffff'>@f1@</font>"
['--'],/lol-game-data/assets/v1/perk-images/Styles/Inspiration/Intelligence/Intelligence.png,8347,+5% CDR<br>+5% Max CDR<br>+5% Summoner Spell CDR<br>+5% Item CDR,Cosmic Insight,"+5% <lol-uikit-tooltipped-keyword key=""LinkTooltip_Description_CDR"">CDR</lol-uikit-tooltipped-keyword><br>+5% Max CDR<br>+5% Summoner Spell CDR<br>+5% Item CDR",+5% CDR<br>+5% Max CDR<br>+5% Summoner Spell CDR<br>+5% Item CDR
['Time Spent Hasted: @eogvar1@'],/lol-game-data/assets/v1/perk-images/Styles/Resolve/HotPursuit/HotPursuit.png,8410,Gain 10% Movement Speed towards nearby ally champions that are movement impaired or enemy champions that you impair. <br><br>Range: 1000,Approach Velocity,"Bonus <lol-uikit-tooltipped-keyword key=""LinkTooltip_Description_MS"">MS</lol-uikit-tooltipped-keyword> towards nearby ally champions that are <lol-uikit-tooltipped-keyword key=""LinkTooltip_Description_ImpairMov"">movement impaired</lol-uikit-tooltipped-keyword> or enemy champions that you impair.",Gain 10% Movement Speed towards nearby ally champions that are movement impaired or enemy champions that you impair. <br><br>Range: 1000<br><hr><br>Time Spent Hasted: @f1@s
['Total adaptive stat gained: @eogvar1@'],/lol-game-data/assets/v1/perk-images/Styles/Sorcery/Overcharger/Overcharger.png,8210,Gain 10% CDR when you reach level 10.<br><br>Each percent of CDR exceeding the CDR limit is converted to an <lol-uikit-tooltipped-keyword key='LinkTooltip_Description_Adaptive'><font color='#48C4B7'>adaptive</font></lol-uikit-tooltipped-keyword> bonus of 1.2 Attack Damage or 2 Ability Power.,Transcendence,"Gain 10% <lol-uikit-tooltipped-keyword key=""LinkTooltip_Description_CDR"">CDR</lol-uikit-tooltipped-keyword> when you reach level 10. Excess CDR becomes AP or AD, <lol-uikit-tooltipped-keyword key=""LinkTooltip_Description_Adaptive"">adaptive</lol-uikit-tooltipped-keyword>.",Gain 10% CDR when you reach level 10.<br><br>Each percent of CDR exceeding the CDR limit is converted to an <lol-uikit-tooltipped-keyword key='LinkTooltip_Description_Adaptive'><font color='#48C4B7'>adaptive</font></lol-uikit-tooltipped-keyword> bonus of 1.2 Attack Damage or 2 Ability Power.<br><hr><br>Cooldown Reduction: +@f4*100@%<br>Current Bonus: <scaleAD>+@f1@ <scaleAD>Attack Damage</scaleAD></scaleAD>
['Timing: Perfect'],/lol-game-data/assets/v1/perk-images/Styles/Style5/AllInGoodTime/AllInGoodTime.png,8313,"Start the game with a Commencing Stopwatch that transforms into a Stopwatch after 6 min. Stopwatch has a one time use Stasis effect.<br><br>Reduces the cooldown of Zhonya's Hourglass, Guardian Angel, and Gargoyle Stoneplate by 15%.",Perfect Timing,"Gain a free Stopwatch. Stopwatch has a one time use <lol-uikit-tooltipped-keyword key=""LinkTooltip_Description_Stasis"">Stasis</lol-uikit-tooltipped-keyword> effect.","Start the game with a Commencing Stopwatch that transforms into a Stopwatch after 6 min. Stopwatch has a one time use Stasis effect.<br><br>Reduces the cooldown of Zhonya's Hourglass, Guardian Angel, and Gargoyle Stoneplate by 15%."
['Total Bonus AD/AP: @eogvar1@'],/lol-game-data/assets/v1/perk-images/Styles/Sorcery/SpeedDemon/SpeedDemonTemp.png,8234,"Gain 4% increased Movement Speed and add 8% of your Bonus Movement Speed to your AP or AD, <lol-uikit-tooltipped-keyword key='LinkTooltip_Description_Adaptive'><font color='#48C4B7'>adaptive</font></lol-uikit-tooltipped-keyword>. ",Celerity,"Gain 4% extra <lol-uikit-tooltipped-keyword key=""LinkTooltip_Description_MS"">MS</lol-uikit-tooltipped-keyword>. Gain extra AP or AD, <lol-uikit-tooltipped-keyword key=""LinkTooltip_Description_Adaptive"">adaptive</lol-uikit-tooltipped-keyword> based on your bonus MS. ","Gain 4% increased Movement Speed and add 8% of your Bonus Movement Speed to your AP or AD, <lol-uikit-tooltipped-keyword key='LinkTooltip_Description_Adaptive'><font color='#48C4B7'>adaptive</font></lol-uikit-tooltipped-keyword>. <br><hr><br>Current Bonus: <scaleAD>+@f1@ <scaleAD>Attack Damage</scaleAD></scaleAD>"
['Time Completed: @eogvar1@:@eogvar2@'],/lol-game-data/assets/v1/perk-images/Styles/Precision/Legend_Tenacity.png,9105,"Gain 5% tenacity plus an additional 1.5% for every <i>Legend</i> stack (max 10 stacks).<br><br>Earn progress toward <i>Legend</i> stacks for every champion takedown, epic monster takedown, large monster kill, and minion kill.",Legend: Tenacity,"<lol-uikit-tooltipped-keyword key=""LinkTooltip_Description_Takedown"">Takedowns</lol-uikit-tooltipped-keyword> on enemies grant permanent <b>Tenacity</b>. ","Gain 5% tenacity plus an additional 1.5% for every <i>Legend</i> stack (max 10 stacks).<br><br>Earn progress toward <i>Legend</i> stacks for every champion takedown, epic monster takedown, large monster kill, and minion kill.<br><hr><br>Total tenacity granted: <scaleAD>@f1*100@%</scaleAD> (@f3@ of 10)<br>Progress towards next stack: @f2@%"
['Percent of game active: @eogvar1@%'],/lol-game-data/assets/v1/perk-images/Styles/Resolve/NemFighter/NemFighter.png,8429,After 10 min gain +8 Armor and +8 Magic Resist and increase your Armor and Magic Resist by 5%.,Conditioning,After 10 min gain +8 Armor and +8 Magic Resist and increase your Armor and Magic Resist by 5%.,After 10 min gain +8 Armor and +8 Magic Resist and increase your Armor and Magic Resist by 5%.<br><br>Armor Gained: @f3@ <scaleArmor>(+@f4@)</scaleArmor><br>Resist Gained: @f5@ <scaleMR>(+@f6@)</scaleMR>
"['Damage Dealt: @eogvar1@', 'Damage Shielded: @eogvar2@']",/lol-game-data/assets/v1/perk-images/Styles/Sorcery/KSPerxie/KSPerxie.png,8214,"Your attacks and abilities send Aery to a target, damaging enemy champions or shielding allies.<br><br>Damage: 15 - 40 based on level (+<scaleAP>0.1 AP</scaleAP> and +<scaleAD>0.15 bonus AD</scaleAD>)<br>Shield: 30 - 80 based on level (+<scaleAP>0.25 AP</scaleAP> and +<scaleAD>0.4 bonus AD</scaleAD>) <br><br>Aery cannot be sent out again until she returns to you.",Summon Aery,"Your attacks and abilities send Aery to a target, damaging enemies or shielding allies.","Your attacks and abilities send Aery to a target, damaging enemy champions or shielding allies. Aery cannot be sent out again until she returns to you.<br><br>Damage: <font color='#FFFFFF'>@f5@</font> (+<scaleAP>@f6@</scaleAP>) (+<scaleAD>@f7@</scaleAD>)<br>Shield: <font color='#FFFFFF'>@f8@</font> (+<scaleAP>@f9@</scaleAP>) (+<scaleAD>@f10@</scaleAD>) <br><hr><br>Aery has attacked enemies <font color='#FFFFFF'>@f1@</font> times for a total of <font color='#FFFFFF'>@f3@</font> damage.<br>Aery has helped allies <font color='#FFFFFF'>@f2@</font> times, shielding a total of <font color='#FFFFFF'>@f4@</font> damage."
['Bonus Magic Resist: @eogvar1@'],/lol-game-data/assets/v1/perk-images/Styles/Resolve/NemMage/NemMage.png,8435,"Gain +5 Magic Resist. <br><br>Heal effects from consumables, heals for at least 20 health and shields increase your Magic Resist by 5% for 3s. ",Mirror Shell,"Gain +5 Magic Resist. <br>Heals, including consumables, increase your Magic Resist by 5% temporarily.<br>","Gain +5 Magic Resist. <br><br>Heal effects from consumables, heals for at least 20 health and shields increase your Magic Resist by 5% for 3s. "
[],/lol-game-data/assets/v1/perk-images/Styles/RunesIcon.png,8115,"+11 Attack Damage or +18 Ability Power, <lol-uikit-tooltipped-keyword key='LinkTooltip_Description_Adaptive'><font color='#48C4B7'>Adaptive</font></lol-uikit-tooltipped-keyword>",The Aether Blade,<pathBonus><pathDomination>Domination</pathDomination> + <pathSorcery>Sorcery</pathSorcery> Set Bonus</pathBonus>,"<pathDomination>Domination</pathDomination> + <pathSorcery>Sorcery</pathSorcery><br>+11 Attack Damage or +18 Ability Power, <lol-uikit-tooltipped-keyword key='LinkTooltip_Description_Adaptive'><font color='#48C4B7'>Adaptive</font></lol-uikit-tooltipped-keyword><br>Current Bonus: <scaleAD>+@f1@ <scaleAD>Attack Damage</scaleAD></scaleAD>"
['Total Damage Dealt: @eogvar1@'],/lol-game-data/assets/v1/perk-images/Styles/Sorcery/KSDoomsayer/KSDoomsayer.png,8229,"Damaging a champion with an ability hurls a comet at their location, or, if Arcane Comet is on cooldown, reduces its remaining cooldown.<br><br><lol-uikit-tooltipped-keyword key='LinkTooltip_Description_AdaptiveDmg'><font color='#48C4B7'>Adaptive Damage</font></lol-uikit-tooltipped-keyword>: 30 - 100 based on level (<scaleAP>+0.2 AP</scaleAP> and <scaleAD>+0.35 bonus AD</scaleAD>)<br>Cooldown: 20 - 8s<br><rules><br>Cooldown Reduction:<br>Single Target: 20%.<br>Area of Effect: 10%.<br>Damage over Time: 5%.<br></rules>",Arcane Comet,Damaging a champion with an ability hurls a damaging comet at their location.,"Damaging a champion with an ability hurls a comet at their location, or, if Arcane Comet is on cooldown, reduces its remaining cooldown.<br><rules><br>Cooldown Reduction:<br>Single Target: 20%.<br>Area of Effect: 10%.<br>Damage over Time: 5%.<br></rules><br>Damage: <font color='#FFFFFF'>@f5@</font> (+<scaleAP>@f6@</scaleAP>) (+<scaleAD>@f7@</scaleAD>)<br>Cooldown: @f2@s<br><hr><br>You have hit with @f3@% of comets fired, for a total of @f1@ damage to champions."
['Total Stacks: @eogvar1@'],/lol-game-data/assets/v1/perk-images/Styles/Domination/InsatiableHunter/InsatiableHunter.png,8135,Heal for a percentage of the damage dealt by your abilities.<br>Healing: 2.5% + 2.5% per <i>Bounty Hunter</i> stack. <br><br>Earn a <i>Bounty Hunter</i> stack the first time you get a takedown on each enemy champion.<br><rules><br>Healing reduced to one third for Area of Effect abilities.</rules><br>,Ravenous Hunter,"<b>Unique</b> <lol-uikit-tooltipped-keyword key=""LinkTooltip_Description_Takedown"">takedowns</lol-uikit-tooltipped-keyword> grant permanent healing from ability damage. ",Heal for a percentage of the damage dealt by your abilities.<br>Healing: 2.5% + 2.5% per <i>Bounty Hunter</i> stack. <br><br>Earn a <i>Bounty Hunter</i> stack the first time you get a takedown on each enemy champion.<br><rules><br>Healing reduced to one third for Area of Effect abilities.</rules><br><br><hr><br>Stacks earned: @f1@/5<br>Current Healing: @f2.1@%
['Total shield granted: @eogvar1@'],/lol-game-data/assets/v1/perk-images/Styles/Sorcery/PokeShield/Pokeshield.png,8224,"When you take magic damage that would reduce your Health below 30%, gain a shield that absorbs 40 - 120 magic damage based on level (<scaleAP>+0.1 AP</scaleAP> and <scaleAD>+0.15 bonus AD</scaleAD>) for 4s.<br><br>Cooldown: 60s",Nullifying Orb,Gain a magic damage shield when taken to low health by magic damage.,"When you take magic damage that would reduce your Health below 30%, gain a shield that absorbs <font color='#ffffff'>@f2@</font> (+<scaleAD>@f3@</scaleAD>) (+<scaleAP>@f4@</scaleAP>) magic damage for 4s.<br><br>Cooldown: 60s<br><hr><br>Total Magic Damage Blocked: @f1@"
['Total Shield Strength: @eogvar1@'],/lol-game-data/assets/v1/perk-images/Styles/Resolve/KSBuddyShield/KSBuddyShield.png,8465,"<i>Guard</i> allies within 175 units of you, and allies you target with spells for 2.5s. While <i>Guarding</i>, if you or the ally take damage, both of you gain a shield and are hasted for 1.5s.<br><br>Cooldown: 45s<br>Shield: 60 - 150 +(<scaleAP>0.2 AP</scaleAP>) + (<scalehealth>+10% bonus health</scalehealth>).<br>Haste: +20% Movement Speed.",Guardian,"Guard allies you cast spells on and those that are very nearby. If you or a guarded ally would take damage, you're both hasted and granted a shield.","<i>Guard</i> allies within 175 units of you, and allies you target with spells for 2.5s. While <i>Guarding</i>, if you or the ally take damage, both of you gain a shield and are hasted for 1.5s.<br><hr><br>Cooldown: 45s<br>Current shield strength: @f2@ + (<scaleAP>@f3@</scaleAP>) + (<scaleHealth>@f4@</scaleHealth>).<br>Haste: 20% increased Movement Speed."
['Total Bonus Max Health: @eogvar1@'],/lol-game-data/assets/v1/perk-images/Styles/Resolve/HealthBandit/HealthBandit.png,8451,Permanently gain 0.2% maximum health for every 8 monsters or enemy minions that die near you.,Overgrowth,Gain additional permanent max health when minions or monsters die near you.,Permanently gain 0.2% maximum health for every 8 monsters or enemy minions that die near you.<br><hr><br>Total Max Health Earned: <scaleHealth>@f1@ (@f2*100.1@%)</scaleHealth>
[],/lol-game-data/assets/v1/perk-images/Styles/RunesIcon.png,8454,+130 Health,The Leviathan,<pathBonus><pathResolve>Resolve</pathResolve> + <pathDomination>Domination</pathDomination> Set Bonus</pathBonus>,<pathResolve>Resolve</pathResolve> + <pathDomination>Domination</pathDomination><br>+130 Health
['Total Bonus AD/AP: @eogvar1@'],/lol-game-data/assets/v1/perk-images/Styles/Domination/WardSlayer/WardSlayer.png,8138,"Collect eyeballs for champion and ward takedowns. Gain an <lol-uikit-tooltipped-keyword key='LinkTooltip_Description_Adaptive'><font color='#48C4B7'>adaptive</font></lol-uikit-tooltipped-keyword> bonus of 0.6 Attack Damage or 1 Ability Power, per eyeball collected. <br><br>Upon completing your collection at 20 eyeballs, additionally gain an <lol-uikit-tooltipped-keyword key='LinkTooltip_Description_Adaptive'><font color='#48C4B7'>adaptive</font></lol-uikit-tooltipped-keyword> bonus of 6 Attack Damage, or 10 Ability Power.<br><br>Collect 2 eyeballs per champion takedown, 1 eyeball per ward takedown.",Eyeball Collection,"Collect eyeballs for champion and ward <lol-uikit-tooltipped-keyword key=""LinkTooltip_Description_Takedown"">takedowns</lol-uikit-tooltipped-keyword>. Gain permanent AD or AP, <lol-uikit-tooltipped-keyword key=""LinkTooltip_Description_Adaptive"">adaptive</lol-uikit-tooltipped-keyword> for each eyeball plus bonus upon collection completion.","Collect eyeballs for champion and ward takedowns. Gain an <lol-uikit-tooltipped-keyword key='LinkTooltip_Description_Adaptive'><font color='#48C4B7'>adaptive</font></lol-uikit-tooltipped-keyword> bonus of 0.6 Attack Damage or 1 Ability Power, per eyeball collected. <br><br>Upon completing your collection at 20 eyeballs, additionally gain an <lol-uikit-tooltipped-keyword key='LinkTooltip_Description_Adaptive'><font color='#48C4B7'>adaptive</font></lol-uikit-tooltipped-keyword> bonus of 6 Attack Damage, or 10 Ability Power.<br><br>Collect 2 eyeballs per champion takedown, 1 eyeball per ward takedown.<br><hr><br>Adapative Force Gained: @f1@<br>Eyeballs Collected: @f3@/20"
[],/lol-game-data/assets/v1/perk-images/Styles/RunesIcon.png,8207,"+15 Attack Damage or +25 Ability Power, <lol-uikit-tooltipped-keyword key='LinkTooltip_Description_Adaptive'><font color='#48C4B7'>Adaptive</font></lol-uikit-tooltipped-keyword>",The Cryptic,<pathBonus><pathSorcery>Sorcery</pathSorcery> + <pathInspiration>Inspiration</pathInspiration> Set Bonus</pathBonus>,"<pathSorcery>Sorcery</pathSorcery> + <pathInspiration>Inspiration</pathInspiration><br>+15 Attack Damage or +25 Ability Power, <lol-uikit-tooltipped-keyword key='LinkTooltip_Description_Adaptive'><font color='#48C4B7'>Adaptive</font></lol-uikit-tooltipped-keyword><br>Current Bonus: <scaleAD>+@f1@ <scaleAD>Attack Damage</scaleAD></scaleAD>"
